School_ID,Short_Name,Long_Name,Primary_Category,Zip,School_Latitude,School_Longitude,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Involved Families,Supportive Environment,Total Classrooms (CRs),SY2026 Adjusted SU 2,State English Learners N,State English Learners %,Students with Disabilities N,Students with Disabilities %,Economically Disadvantaged N,Economically Disadvantaged %,Total,White %,Black %,Latinx %,Others %,IAR ELA %,IAR MATH %,Hard Resource Index,Soft Resource Index,RI,Simpson Diversity Index,OI
609966,HAMMOND,Charles G Hammond Elementary School,ES,60623,41.852719,-87.696243,66.0,61.0,56.0,72.0,35.0,22.0,0.59,138.0,0.5433070866141733,46.0,0.18110236220472442,198.0,0.7795275590551181,254.0,0.01195219123505976,0.11553784860557768,0.8645418326693227,0.00796812749003984,24.1,12.9,0.05065552775871449,0.3365817672361678,0.19361864749744115,0.7609879208266535,0.5150067901477707
400069,POLARIS,Polaris Charter Academy,ES,60624,41.89255,-87.707796,86.0,51.0,54.0,51.0,99.0,,,5.0,0.013850415512465374,47.0,0.13019390581717452,307.0,0.850415512465374,361.0,0.0110803324099723,0.8808864265927978,0.10803324099722991,0.0,24.2,5.9,,1.032774946396956,,0.7877548514821097,-0.13545518638368506
610191,STONE,Stone Elementary Scholastic Academy,ES,60659,41.995359,-87.684793,56.0,52.0,49.0,63.0,41.0,26.0,1.03,167.0,0.30144404332129965,65.0,0.11732851985559567,332.0,0.5992779783393501,554.0,0.22743682310469315,0.22563176895306858,0.12274368231046931,0.42418772563176893,79.2,52.1,-0.17431356028597816,-0.03534492073288234,-0.10482924050943025,0.2976384417886327,-0.76246208758271
610153,RYDER,William H Ryder Math & Science Specialty ES,ES,60620,41.735379,-87.638843,77.0,59.0,52.0,45.0,44.0,31.5,0.6,11.0,0.031073446327683617,120.0,0.3389830508474576,297.0,0.8389830508474576,354.0,0.011299435028248588,0.9491525423728814,0.03954802259887006,0.0,27.7,11.9,0.09956185124669115,0.2155024836370762,0.15753216744188367,0.9025822720163428,0.7888322050895007
610117,PASTEUR,Louis Pasteur Elementary School,ES,60629,41.786895,-87.732666,92.0,71.0,74.0,91.0,77.0,27.5,0.89,281.0,0.45691056910569106,111.0,0.18048780487804877,455.0,0.7398373983739838,615.0,0.016260162601626018,0.016260162601626018,0.9544715447154472,0.013008130081300813,54.5,60.6,1.1265946444941999,1.8104156471226325,1.4685051458084162,0.9117139268953665,0.5448918708448331
610237,BEETHOVEN,Ludwig Van Beethoven Elementary School,ES,60609,41.809135,-87.627137,59.0,39.0,22.0,16.0,38.0,42.0,0.36,28.0,0.08383233532934131,59.0,0.17664670658682635,237.0,0.7095808383233533,334.0,0.011976047904191617,0.7934131736526946,0.18862275449101795,0.005988023952095809,11.0,3.3,-1.0741899124647476,-1.082115429241948,-1.0781526708533478,0.6652622897916741,-0.20632601187108657
609908,ESMOND,Esmond Elementary School,ES,60643,41.68942,-87.669159,60.0,50.0,36.0,60.0,38.0,19.0,0.6,8.0,0.036036036036036036,28.0,0.12612612612612611,193.0,0.8693693693693694,222.0,0.0,0.954954954954955,0.036036036036036036,0.009009009009009009,24.7,24.5,0.09956185124669115,-0.23897847688573126,-0.06970831281952006,0.913318724129535,0.045108734050462757
609945,GOUDY,William C. Goudy Technology Academy,ES,60640,41.975817,-87.657912,60.0,70.0,72.0,67.0,36.0,39.5,0.6,240.0,0.48582995951417,76.0,0.15384615384615385,384.0,0.7773279352226721,494.0,0.06882591093117409,0.3016194331983806,0.3299595141700405,0.29959514170040485,45.3,36.2,0.09956185124669115,0.5289091186894298,0.3142354849680605,0.29434181842023305,-0.20160002938622795
610223,WENTWORTH,Daniel S Wentworth Elementary School,ES,60636,41.765076,-87.658205,53.0,18.0,8.0,17.0,32.0,43.0,0.5,92.0,0.2119815668202765,115.0,0.26497695852534564,356.0,0.8202764976958525,434.0,0.009216589861751152,0.7488479262672811,0.24193548387096775,0.0,13.3,4.3,-0.3895013836330749,-1.6922541398399003,-1.0408777617364875,0.6193909405593664,0.3524094824610243
610532,HERNANDEZ,Irene C. Hernandez Middle School for the Advancement of Science,MS,60632,41.793479,-87.71137,66.0,64.0,68.0,55.0,33.0,48.0,0.69,328.0,0.45555555555555555,93.0,0.12916666666666668,662.0,0.9194444444444444,720.0,0.005555555555555556,0.013888888888888888,0.9777777777777777,0.002777777777777778,29.8,16.8,0.5397187626384806,0.30112319675224297,0.4204209796953618,0.9562808641975309,0.6301768889767445
