School Name,School Code,School Year,Test Name,Category,Student Group,%At or Above Proficient,%Above Proficient,%Proficient,%Approaching Proficient,%Below Proficient, #Tested , #At or Above Proficient , #Above Proficient , #Proficient , #Approaching Proficient , #Below Proficient ,Notes
--- District Totals ---,--,2024-2025,IAR ELA,ALL,All Students,40.6,7.8,32.8,36.5,22.9,"135,815","55,088","10,580","44,508","49,639","31,088",
--- District Totals ---,--,2024-2025,IAR ELA,Economic Disadvantage,ED Students,32.4,4,28.4,40.6,27,"105,882","34,308","4,238","30,070","42,953","28,621",
--- District Totals ---,--,2024-2025,IAR ELA,Economic Disadvantage,Non-ED Students,69.4,21.2,48.2,22.3,8.2,"29,933","20,780","6,342","14,438","6,686","2,467",
--- District Totals ---,--,2024-2025,IAR ELA,English Learner Status,EL Students,16.8,1,15.8,40.6,42.6,"39,336","6,602",395,"6,207","15,974","16,760",
--- District Totals ---,--,2024-2025,IAR ELA,English Learner Status,Non-EL Students,50.3,10.6,39.7,34.9,14.9,"96,479","48,486","10,185","38,301","33,665","14,328",
--- District Totals ---,--,2024-2025,IAR ELA,Gender,Female,44.7,9.6,35.1,35.1,20.1,"67,279","30,102","6,457","23,645","23,622","13,555",
--- District Totals ---,--,2024-2025,IAR ELA,Gender,Male,36.4,6,30.4,38,25.6,"68,481","24,945","4,106","20,839","26,010","17,526",
--- District Totals ---,--,2024-2025,IAR ELA,Gender,Non-Binary,75.9,31.5,44.4,13,11.1,54,41,17,24,7,6,
--- District Totals ---,--,2024-2025,IAR ELA,Gender,Not Listed,,,,,,,,,,,,Data not reported because there are fewer than 10 students in this group.
--- District Totals ---,--,2024-2025,IAR ELA,Grade Level,Grade 3 Students,34.1,7.6,26.5,42,23.9,"22,505","7,672","1,710","5,962","9,453","5,380",
--- District Totals ---,--,2024-2025,IAR ELA,Grade Level,Grade 4 Students,36.4,8.5,27.9,41.6,22,"22,834","8,308","1,935","6,373","9,502","5,024",
--- District Totals ---,--,2024-2025,IAR ELA,Grade Level,Grade 5 Students,40.5,8.6,31.9,36.3,23.2,"22,576","9,152","1,951","7,201","8,196","5,228",
--- District Totals ---,--,2024-2025,IAR ELA,Grade Level,Grade 6 Students,42.5,9.2,33.3,34.7,22.8,"21,993","9,345","2,023","7,322","7,626","5,022",
--- District Totals ---,--,2024-2025,IAR ELA,Grade Level,Grade 7 Students,43.9,6.9,37.1,33,23.1,"22,421","9,854","1,538","8,316","7,395","5,172",
--- District Totals ---,--,2024-2025,IAR ELA,Grade Level,Grade 8 Students,45.8,6.1,39.7,31.8,22.4,"23,486","10,757","1,423","9,334","7,467","5,262",
--- District Totals ---,--,2024-2025,IAR ELA,IEP Status,IEP Students,10.3,0.8,9.5,40.9,48.8,"21,810","2,241",174,"2,067","8,925","10,644",
--- District Totals ---,--,2024-2025,IAR ELA,IEP Status,Non-IEP Students,46.4,9.1,37.2,35.7,17.9,"114,005","52,847","10,406","42,441","40,714","20,444",
--- District Totals ---,--,2024-2025,IAR ELA,Race/Ethnicity,Asian,64.9,23.2,41.7,21.3,13.8,"6,448","4,183","1,494","2,689","1,376",889,
--- District Totals ---,--,2024-2025,IAR ELA,Race/Ethnicity,Black/African American,33.7,4,29.8,43.5,22.7,"46,205","15,591","1,833","13,758","20,119","10,495",
--- District Totals ---,--,2024-2025,IAR ELA,Race/Ethnicity,Hawaiian/Pacific Islander,55.9,12.6,43.3,30.7,13.4,127,71,16,55,39,17,
--- District Totals ---,--,2024-2025,IAR ELA,Race/Ethnicity,Latinx,34.7,4.9,29.8,37.3,28,"64,821","22,462","3,147","19,315","24,190","18,169",
--- District Totals ---,--,2024-2025,IAR ELA,Race/Ethnicity,Middle Eastern/North African,11.1,0,11.1,38.9,50,18,2,  -   ,2,7,9,
--- District Totals ---,--,2024-2025,IAR ELA,Race/Ethnicity,Multiracial,71.8,23.8,48,21.1,7.1,"2,362","1,696",563,"1,133",498,168,
